original_candidate_id,candidate_id,jobs_viewed,jobs_saved,applications_submitted,searches_performed,jobs_ignored
00107E8FDD3BE1A2B6D57564BE86F9E689BB7108CD697F0AA84BB1292365D6DB,2a8994fd-1aa0-5158-8b3b-aa7212209d3b,2,0,2,5,3
00829F9A07FD6CC177909E49388232A93D1B76805643FA72E7E953ACF75CB9BE,34a47f6d-5cc7-5ef2-9127-00b404cd9702,1,1,1,5,0
0084CD3B6849D7140BF2CFD51B7B2C1B94EA0E647B5522A14E16A074AF5A822D,6bd0e39e-b819-5378-baa6-31cf4a887cf2,7,3,7,4,1
00A2AA61140CB684E1B28F9243060168767D2B6E3BC2DDBF420B54C7BDD6461B,a714a22e-aed4-53b2-a689-8608269f5cd9,3,1,3,3,3
01166394B9F622C39EAF3FAB6DC4CD9E868466448875708000B744B3116A0F69,e46746a7-e9cc-5ff5-ac45-302848608414,12,2,12,5,0
013EE3E84C12B3FE6005E425563818B5AAA4FFCAC65010769BE1D7CBEA508496,6351bce2-35fd-5759-a583-3b04256d8024,4,1,4,4,2
012C90B282B75C552406F8A2BED9F7A886CADED375013045FB7827D1E398C4AA,699e4796-6de9-5f71-8105-732087082c69,1,0,1,1,3
01C3C84B734A4B0DF7915799E2A478166B17798E9AED67EA40A9A85C9E303670,f16da7fd-15f1-5698-8524-3c7ed9a5c2ae,2,0,2,4,0
01CC84F2A9EAEEC75D57D402BA992E294DAAA080F724673F46A51DAC0144971F,e0c93055-f8ed-556d-8460-ef7f7e5ff05c,1,0,1,5,0
01BBB14D9C01BD5011C2D971D478A6EAB272AF699ADC0EAC97608AC083D75C06,db4ca672-654d-55a7-b046-c556d13d7060,3,0,3,3,0
018A401469A67DCC8AA8766696D68B6879CFC69AB3F62201677DFEA2A82E20A1,849b9ef0-901c-57a0-b49a-59899000c9d6,1,0,1,1,3
020F8B0BFF961ADA0803016147BE49293FD229EDF9A8EC66A0AEDA4972FC5BDD,584d3da6-8410-584a-ba90-ad011fcd27e2,12,5,12,0,3
01E8E35A531CB1F8C323B51DE66C48CCE2548DCC1B40B930D5D9ED94BCC637D8,ae87805d-e295-5c84-9c0d-b6deaf09c4fd,3,2,3,3,1
01FFAFEA3B949EB5098BAE42CE57720B8C9FA0295B909AB2469494655A49A327,26eb9d54-5fcb-5ae8-b455-c9a88c518ad1,15,7,15,2,3
01F8089543CD43E7D1E2FD9E7BD2005AA2444B34B84D17CC321A1A3209329AA0,e1e1c6c7-57eb-55d3-9140-9e222abf0e06,2,1,2,3,2
021C59E24BFA67B1B4C375D683F79EEAF4101420A48B8861268C3A18F580B5D7,766a6513-ea03-5835-8f15-980e717a5d5e,1,0,1,4,0
01E32FE9A9700FD8C6322011978C4C478695AEB61990C436363C82EB35D018D7,07e25ff9-85a0-5c70-833e-12301b4657b0,2,1,2,3,2
01E36A7278F746A8D4817F346CDF12F19EF348F9E86FC292DD1FC0654EECEEB2,d9297203-003a-5a22-80a6-868ca1c822cd,5,1,5,5,3
024C8D15AEC39E16823ECE2F746851FD032309948BFA848D37B8F2D6CFC91124,42c6e91e-dfc5-5fe3-ae93-f74291317bab,1,0,1,5,0
02960332EAC79E7A0A6F3EDFC3A504EC5AF772A58D34ED65BA6FC12BCF8A112D,5c1c5124-88b1-56ad-9abb-cf998a3709dd,1,0,1,3,3
02831459634566BB480288AF612197940E0BBE02C24BEB9A22CDC2FAEF671DA5,14b0e0c9-ee99-5444-917d-07c23af7ca52,11,5,11,5,2
024C5A9A234DF3B64BFEF932F1CC94323C77CFE4A1A12351A1077CD61D4174F0,9ebcfb0e-e1a4-58bb-b2ae-726b6d814234,4,1,4,4,2
02AE76B71545BA2EF36C7B531530AD19EE933E303651D132BE58D55A7987D9BE,d80e7af2-2423-5c47-9e22-b64afb796ab0,2,0,2,3,0
02F4C54E074BCCD4F9361C945A9430CB39A6E9FA32F867038286A063FCD73329,158d361b-4fe8-5c54-b5c9-303c2307890e,1,1,1,4,1
03B7145D51B60E22660963AC596FE699F01E79DA787F6FA8F036F1486195DEB8,2261ff6f-ae11-571e-aeea-b9db69163a8b,1,0,1,5,0
0384AC27378945C478722E3E80AC8D95D4F9EBB397D408BA9B07CBD7EBDB15EC,f126b727-d2f1-5ba5-9197-60414fff32f4,1,1,1,0,0
0335D2DDD665D1F91E71E21F89F2B142DB5B9CB112578E6EA4DA241E16A01AF7,61db6784-ae96-575b-88c5-15105050030b,1,0,1,4,1
03E3CD88AFECDA58E329374C56D52649BEB85F424D8B3918BD66C1B1DBF19195,b1eac924-1fad-5254-91fb-634957ac90b4,1,1,1,5,3
03B53DD15E3B02D8BACC35319DAE377EA60B5926640B4326B07785C45FC1752C,9708b1ed-84c3-5a5b-bd28-1fecbe4ebf89,1,0,1,0,3
03DCA37B244A6264054DC62D0E325B5D7B29483B8110A649D5313A47E73F7059,079e4f2b-e0f3-5e33-80a2-ddc0caa83bc5,5,2,5,3,3
03E9E9A1E3835C2D7C2B4453A1A5AE559B67643536A1A58B269E7DA91A381637,39f9a1cd-316f-5ecf-b04b-a5ab7f707e22,3,3,3,3,3
03EE97035ED152EA35846E878F46137FCFE00E0CCEFECBDE89CCFC6F1B561C64,eab922d4-ef24-5688-89aa-3d986e67d923,10,3,10,3,3
03ABAA2DF8A7B068706032CF42D2456962B99409B697D9A7E05CCE6A718859F1,a29dccca-a474-5e20-8f3a-d2d1df9095a9,26,11,26,3,0
0470969887BFB57D94EBDA9137A6A1C9F73C0D08A32781A7CAB1A017481E71DC,72d14430-eea0-5e27-a7ce-a8cede407870,4,2,4,5,3
04400A0256CC47993CF8F07CCF1783EC398C15627E4BB19235F5067B5FB1FBBA,3c415019-b342-57c9-beb1-6150f494ee05,24,13,24,1,3
05513844045BAB1B9CC80228BE4AAB7C7360FB945E182516DFE4DC1ADD529602,8788cdc4-dbae-5349-9d75-66835cf16a17,5,2,5,3,2
04802CCABF98A94CFE976821A72DE991E659A05CFBB51F044486EE3969F46B72,1bb0dd66-2fec-533f-9fc7-9c9dffb67e83,1,1,1,2,3
04C4CF8A61F43A3111D69A0EEBF6D677D3AFF004020151C27A9451C54FD87BF1,5f4feab3-4390-5a33-931d-3f2ae4e3cff5,14,8,14,0,3
04D51428E1EE9EFEAAE635CD4C4F8187D65F3349DC9C2D70BD1CABFFA5EA5A14,72721398-88b7-5eda-82ab-b3bf155c5aaf,2,1,2,3,3
0546833478F2911D16F84FB3436C8B7929D6B765665112B6FA41C890779851E9,e831bee1-bb4c-51df-8725-dfc7a6d1fcbb,7,2,7,3,1
05B734EDD61299E4B5A9FBF1A4B6C7A80007A5A77849EF5832ADDA492749532F,77788349-ed3e-5af4-adfa-7a178e766a90,1,1,1,1,0
06107A9FFAFF19C70C4F3FB95AB7D288BBC1AC11DB5E668566A83C5CFC996A9C,fb50c3f5-8604-57ca-b460-1cd8c78d650e,1,1,1,5,0
0627B46F36C22B38A9551B0E336B72A2D64D7E34B3673AFA8B5B8E14AAE04398,b823236f-29b3-53e9-be58-e8412a958cbc,2,1,2,3,0
062308EC5435D352E308CC824CB267AE0F2DE4308EF95BC24B2C93CC1F73FDF9,ba4cbce4-81cc-5a2b-9a97-9b6bb39f5316,1,0,1,5,0
066642335CD8124E873032BF0579B39FFB7992264D4648A8423C903F3A8C029E,9c1602b0-fa6d-5897-b2fd-1453b9a658da,3,1,3,4,2
06E23F79F96C250034E708C176BE2E03F819AAEAAB365FE1D43ED1B705518397,d67490ba-677c-5688-971d-7253dea1ecda,3,0,3,2,0
071080BF62A383367C058AB5E8303DB0E1030517871451DD4FA80C7CDA4CF417,616e3673-5a6b-5217-8989-fefa455de460,2,1,2,0,1
071ED161BB8BF84845846ACD415CEBB59C55202299200444BD616DE824735789,a14cc9c3-52d0-5aac-a4b1-68d5a12acb93,1,0,1,0,1
075A72E67A4D6616780CD1BBA44D0188F222EB68A463E5018307853B540FD3C4,62da4176-c315-5907-ba3a-5a5323a494e6,2,1,2,2,0
069E67A3CCDF7D47D59FBD5977A30D729A37E1B53C70E556224AB6B2D764DD71,4db0e1d7-ae2f-5106-a813-693a45019861,6,1,6,2,2
06CAC12E50D6249B85F21903133661A6A1800F98A4581C6BB7359BE11604DEB6,da702c42-a96e-548c-aeca-33f08d5ecd35,1,0,1,4,2
07BBF47C1B27B7D0AB73BA61EC2FC6DF1198953E7189376639D0A8F52E0AE590,63ed151b-e766-58f8-91d5-7b04207c32a4,1,1,1,1,0
081CEA46D8786520639A87FCE92149D924F5B3ABEAFD16B2CF62205F299F363D,5d58f349-2dd6-5ce2-b5fb-3fd22293e613,1,0,1,3,2
07CB07720F2795A172FCA8DC0D69DF6EA2AAD145EF8D4E3620B46708896864B6,71a3651d-5291-5923-ae24-3c5314e047cc,16,3,16,5,0
07D490B4F4F23B2DD775E2D0EAA39EEF9D9A95F9B61B0644138D024DEA1D8493,fd6e39ad-2d96-596e-9767-2f0b8d8b3509,1,1,1,5,1
082B171D9F5825DF7F11A229D0BAB598DBB6443407E4F63466FF582B5E4BAF71,23a3b3c0-6e71-5262-a817-e8472e0e587b,2,1,2,1,2
08B12817BD64FE294E24FED66AAD23AB64D77E79EA8EE5D87AE63ABD103698FE,1a0183a8-2934-5c7f-aa1b-a1a6a5f70e72,1,0,1,3,3
095FF8BE72B48D5B16C2DD89521FF3613B9688EFCC6F14B49CF9E7765CE218D1,7bc2e669-cec9-57e4-af79-da845650ce04,2,0,2,3,3
0833A640DC3D4B7384F410BB3BBA8A9043BB33EB286EB6355986DCCE7CCEAC67,12300354-ab86-5059-bfeb-0d9e35e163b3,5,3,5,1,2
0988A2DFFCE111986BF39356714EE15500032ED9AD1CC33338B860A60B2D01A3,a710ec38-cdf9-5162-b2b1-b82c54e2475e,2,0,2,5,3
099E79BD5E6E25D8B02D6DA749266DB88A26A684845A9645D73E65D1A542B76C,453bd27d-9ff2-5e79-a427-ca5b38e7cc55,9,5,9,5,3
0910476D9C556B9ABD3581CF3EB289849D78C8D5D71510EA297C05221DF5FE56,ca343d2d-36a1-5d06-8df9-deba05590ad5,1,1,1,0,3
09F34B0F94502ABBCDAE917848C451F899609B5B6DE50DEA62CA9C9110222EB9,2959378e-2b5f-516f-ae49-a21a12b200b1,1,1,1,2,3
0979B3B6409AF27591A6E8DFDC4E20E8AF7A0339B6413C7C3BC065DB64AA815B,55ec9c44-5642-5e20-9298-62c2087c99a1,7,3,7,1,3
097D602C112D6A41E85BF5964BCD908D609E4AC64696C1D19579E745C46C618A,b7044f0d-babb-5f5f-b9b3-5886457875aa,3,2,3,5,1
