id,user_id,company,company_id,title,employment_type,location,location_type,start_date,end_date,is_current,description,achievements,skills,industry,team_size,reports_to,reason_for_leaving,attachments,verified,verification_method,verification_date,display_order,created_at,updated_at
5753ba9d-8dab-5bd2-ac2e-38d3d24276c8,2a8994fd-1aa0-5158-8b3b-aa7212209d3b,Rwanda Amajyepfo,,Engineering Assistant,full-time,Kamonyi,onsite,2025-07-27,2026-07-05,False,"Worked as Engineering Assistant, contributing to Engineering, Manufacturing and Construction operations.",,"['AutoCAD', 'Structural Design', 'Project Supervision', 'Civil Engineering', 'Electrical Systems', 'Quality Assurance']","Engineering, Manufacturing and Construction",,,,[],False,,,0,2026-02-21 19:18:47.443988+00:00,2026-02-21 19:18:47.443988+00:00
45bfdec4-766b-50b1-8843-8eeca9584189,6bd0e39e-b819-5378-baa6-31cf4a887cf2,District of Bugesera,,Education Officer,full-time,Bugesera,onsite,2025-09-06,2026-05-14,False,"Worked as Education Officer, contributing to Education operations.",,"['Curriculum Development', 'Classroom Management', 'Lesson Planning', 'Educational Assessment', 'Pedagogy', 'Special Needs Education']",Education,,,,[],False,,,0,2024-11-30 19:18:47.443988+00:00,2024-11-30 19:18:47.443988+00:00
495cbf83-4b92-5812-b231-2767794d9142,6bd0e39e-b819-5378-baa6-31cf4a887cf2,District of Iburasirazuba,,Education Officer,full-time,Bugesera,hybrid,2023-10-19,2025-08-15,False,"Worked as Education Officer, contributing to Education operations.",,"['Curriculum Development', 'Classroom Management', 'Lesson Planning', 'Educational Assessment', 'Pedagogy', 'Special Needs Education']",Education,,,,[],False,,,1,2024-11-30 19:18:47.443988+00:00,2024-11-30 19:18:47.443988+00:00
82aa440b-a8f5-5139-9664-c3a68e113a30,6bd0e39e-b819-5378-baa6-31cf4a887cf2,District of Bugesera,,Education Assistant,full-time,Bugesera,hybrid,2021-10-10,2023-10-12,False,"Worked as Education Assistant, contributing to Education operations.",,"['Curriculum Development', 'Classroom Management', 'Lesson Planning', 'Educational Assessment', 'Pedagogy', 'Special Needs Education']",Education,,,,[],False,,,2,2024-11-30 19:18:47.443988+00:00,2024-11-30 19:18:47.443988+00:00
69acbf03-958e-5d3d-89b9-16f86f412b70,a714a22e-aed4-53b2-a689-8608269f5cd9,Rwanda Amajyepfo,,Engineering Assistant,full-time,Nyanza,hybrid,2025-03-11,,True,"Worked as Engineering Assistant, contributing to Engineering, Manufacturing and Construction operations.",,"['AutoCAD', 'Structural Design', 'Project Supervision', 'Civil Engineering', 'Electrical Systems', 'Quality Assurance']","Engineering, Manufacturing and Construction",,,,[],False,,,0,2026-02-14 19:18:47.443988+00:00,2026-02-14 19:18:47.443988+00:00
53b0704a-0e4a-5c3c-beb4-38eb2e8fe72b,6351bce2-35fd-5759-a583-3b04256d8024,Rwanda Gasabo,,Services Assistant,full-time,Gasabo,onsite,2025-06-24,2026-05-22,False,"Worked as Services Assistant, contributing to Services, Tourism and Hospitality operations.",,"['Customer Service', 'Hospitality Management', 'Event Planning', 'Tour Guiding', 'Front Office Operations', 'Food & Beverage Service']","Services, Tourism and Hospitality",,,,[],False,,,0,2026-04-14 19:18:47.443988+00:00,2026-04-14 19:18:47.443988+00:00
ff29512d-9a0e-5aba-b72a-62184cf002dc,699e4796-6de9-5f71-8105-732087082c69,Rwanda Iburasirazuba,,Natural Sciences Officer,full-time,Kayonza,hybrid,2025-11-12,,True,"Worked as Natural Sciences Officer, contributing to Natural Sciences, Mathematics and Statistics operations.",,"['Statistical Analysis', 'Data Analysis', 'Laboratory Techniques', 'Research Methodology', 'SPSS', 'R Programming']","Natural Sciences, Mathematics and Statistics",,,,[],False,,,0,2024-07-30 19:18:47.443988+00:00,2024-07-30 19:18:47.443988+00:00
ce561623-35ee-578a-8d4e-7ab5da3144fe,699e4796-6de9-5f71-8105-732087082c69,District of Iburasirazuba,,Natural Sciences Assistant,full-time,Kayonza,onsite,2023-08-21,2025-10-29,False,"Worked as Natural Sciences Assistant, contributing to Natural Sciences, Mathematics and Statistics operations.",,"['Statistical Analysis', 'Data Analysis', 'Laboratory Techniques', 'Research Methodology', 'SPSS', 'R Programming']","Natural Sciences, Mathematics and Statistics",,,,[],False,,,1,2024-07-30 19:18:47.443988+00:00,2024-07-30 19:18:47.443988+00:00
4ce5d3bb-5c8b-54e9-9d5e-a251cb7fa3c0,db4ca672-654d-55a7-b046-c556d13d7060,Rwanda Umujyi wa Kigali,,Business Assistant,full-time,Kicukiro,hybrid,2025-01-12,,True,"Worked as Business Assistant, contributing to Business, Administration and Law operations.",,"['Project Management', 'Financial Analysis', 'Contract Law', 'Public Administration', 'Policy Analysis', 'Procurement']","Business, Administration and Law",,,,[],False,,,0,2024-07-21 19:18:47.443988+00:00,2024-07-21 19:18:47.443988+00:00
d1083c20-818b-51d6-8f2f-e229269cf40e,584d3da6-8410-584a-ba90-ad011fcd27e2,District of Amajyepfo,,Education Assistant,full-time,Kamonyi,hybrid,2025-05-18,,True,"Worked as Education Assistant, contributing to Education operations.",,"['Curriculum Development', 'Classroom Management', 'Lesson Planning', 'Educational Assessment', 'Pedagogy', 'Special Needs Education']",Education,,,,[],False,,,0,2025-07-27 19:18:47.443988+00:00,2025-07-27 19:18:47.443988+00:00
0724420f-d040-512f-99a6-368ec9bf58b2,26eb9d54-5fcb-5ae8-b455-c9a88c518ad1,Ministry of Iburasirazuba,,Engineering Assistant,full-time,Kirehe,hybrid,2025-02-22,2026-05-23,False,"Worked as Engineering Assistant, contributing to Engineering, Manufacturing and Construction operations.",,"['AutoCAD', 'Structural Design', 'Project Supervision', 'Civil Engineering', 'Electrical Systems', 'Quality Assurance']","Engineering, Manufacturing and Construction",,,,[],False,,,0,2025-02-11 19:18:47.443988+00:00,2025-02-11 19:18:47.443988+00:00
7b29e321-ecb0-5ec5-8f1b-565c965e0344,e1e1c6c7-57eb-55d3-9140-9e222abf0e06,Rwanda Iburengerazuba,,Education Assistant,full-time,Karongi,hybrid,2025-01-28,2026-05-21,False,"Worked as Education Assistant, contributing to Education operations.",,"['Curriculum Development', 'Classroom Management', 'Lesson Planning', 'Educational Assessment', 'Pedagogy', 'Special Needs Education']",Education,,,,[],False,,,0,2026-05-07 19:18:47.443988+00:00,2026-05-07 19:18:47.443988+00:00
6f653a4f-2c63-5283-8ab9-1457a4d9369f,14b0e0c9-ee99-5444-917d-07c23af7ca52,Rwanda Kicukiro,,Business Assistant,full-time,Kicukiro,hybrid,2024-04-11,2026-06-11,False,"Worked as Business Assistant, contributing to Business, Administration and Law operations.",,"['Project Management', 'Financial Analysis', 'Contract Law', 'Public Administration', 'Policy Analysis', 'Procurement']","Business, Administration and Law",,,,[],False,,,0,2026-04-04 19:18:47.443988+00:00,2026-04-04 19:18:47.443988+00:00
6c96ffbe-0c53-5687-b70a-913945386b0b,158d361b-4fe8-5c54-b5c9-303c2307890e,Ministry of Kamonyi,,Health and Welfare (Health and Medical Sciences) Assistant,full-time,Kamonyi,onsite,2025-10-10,2026-06-25,False,"Worked as Health and Welfare (Health and Medical Sciences) Assistant, contributing to Health and Welfare (Health and Medical Sciences) operations.",,"['Patient Care', 'Clinical Assessment', 'Public Health', 'Medical Records Management', 'Nursing Procedures', 'First Aid']",Health and Welfare (Health and Medical Sciences),,,,[],False,,,0,2025-07-08 19:18:47.443988+00:00,2025-07-08 19:18:47.443988+00:00
cf79f118-0901-5e7f-b462-494f0969aecb,b1eac924-1fad-5254-91fb-634957ac90b4,Ministry of Amajyepfo,,Education Assistant,full-time,Kamonyi,onsite,2024-07-27,,True,"Worked as Education Assistant, contributing to Education operations.",,"['Curriculum Development', 'Classroom Management', 'Lesson Planning', 'Educational Assessment', 'Pedagogy', 'Special Needs Education']",Education,,,,[],False,,,0,2024-10-18 19:18:47.443988+00:00,2024-10-18 19:18:47.443988+00:00
