original_job_id,job_db_id,tag
6600003001-020000000200000000-00010,7c21469d-7eeb-5896-a86c-d812fe583c93,government
6600003001-020000000200000000-00010,7c21469d-7eeb-5896-a86c-d812fe583c93,public-service
6600003001-020000000200000000-00010,7c21469d-7eeb-5896-a86c-d812fe583c93,rwanda
6600003001-020000000200000000-00010,7c21469d-7eeb-5896-a86c-d812fe583c93,Business
4000000000-801102230000000000-00088,d576370e-50ae-5e6b-a589-c3e21c3f2769,government
4000000000-801102230000000000-00088,d576370e-50ae-5e6b-a589-c3e21c3f2769,public-service
4000000000-801102230000000000-00088,d576370e-50ae-5e6b-a589-c3e21c3f2769,rwanda
4000000000-801102230000000000-00088,d576370e-50ae-5e6b-a589-c3e21c3f2769,Business
4000000000-801102230000000000-00088,d576370e-50ae-5e6b-a589-c3e21c3f2769,Natural Sciences
4000000000-801102230000000000-00088,d576370e-50ae-5e6b-a589-c3e21c3f2769,Health and Welfare (Health and Medical Sciences)
4000000000-801102230000000000-00088,d576370e-50ae-5e6b-a589-c3e21c3f2769,Social Sciences
1606000000-999990110101111200-00020,5822c35d-2ca8-5556-8bc9-0b725e2588af,government
1606000000-999990110101111200-00020,5822c35d-2ca8-5556-8bc9-0b725e2588af,public-service
1606000000-999990110101111200-00020,5822c35d-2ca8-5556-8bc9-0b725e2588af,rwanda
1606000000-999990110101111200-00020,5822c35d-2ca8-5556-8bc9-0b725e2588af,Natural Sciences
1606000000-999990110101111200-00020,5822c35d-2ca8-5556-8bc9-0b725e2588af,Health and Welfare (Health and Medical Sciences)
1804000000-090101020000000000-00034,cfa6fd27-6630-5f6f-94f2-4d6d432160a5,government
1804000000-090101020000000000-00034,cfa6fd27-6630-5f6f-94f2-4d6d432160a5,public-service
1804000000-090101020000000000-00034,cfa6fd27-6630-5f6f-94f2-4d6d432160a5,rwanda
1804000000-090101020000000000-00034,cfa6fd27-6630-5f6f-94f2-4d6d432160a5,Business
1804000000-090101020000000000-00034,cfa6fd27-6630-5f6f-94f2-4d6d432160a5,Engineering
4500000000-801101100000000000-00071,f42026de-cac4-59c1-b743-69403ae049c0,government
4500000000-801101100000000000-00071,f42026de-cac4-59c1-b743-69403ae049c0,public-service
4500000000-801101100000000000-00071,f42026de-cac4-59c1-b743-69403ae049c0,rwanda
4500000000-801101100000000000-00071,f42026de-cac4-59c1-b743-69403ae049c0,Business
4500000000-801101100000000000-00071,f42026de-cac4-59c1-b743-69403ae049c0,Natural Sciences
4500000000-801101100000000000-00071,f42026de-cac4-59c1-b743-69403ae049c0,Information and Communication Technologies (ICTs)
4500000000-801101100000000000-00071,f42026de-cac4-59c1-b743-69403ae049c0,Arts and Humanities
4500000000-801101100000000000-00071,f42026de-cac4-59c1-b743-69403ae049c0,Agriculture
4500000000-801101100000000000-00071,f42026de-cac4-59c1-b743-69403ae049c0,Social Sciences
4500000000-801101020000000000-00085,9db361d0-3c41-5e12-8143-67b1457a0ed0,government
4500000000-801101020000000000-00085,9db361d0-3c41-5e12-8143-67b1457a0ed0,public-service
4500000000-801101020000000000-00085,9db361d0-3c41-5e12-8143-67b1457a0ed0,rwanda
4500000000-801101020000000000-00085,9db361d0-3c41-5e12-8143-67b1457a0ed0,Business
4500000000-801101020000000000-00085,9db361d0-3c41-5e12-8143-67b1457a0ed0,Natural Sciences
4500000000-801101020000000000-00085,9db361d0-3c41-5e12-8143-67b1457a0ed0,Social Sciences
5900003001-020000000000000000-00154,c80268a0-a3b3-52bf-930f-9a76a63852ef,government
5900003001-020000000000000000-00154,c80268a0-a3b3-52bf-930f-9a76a63852ef,public-service
5900003001-020000000000000000-00154,c80268a0-a3b3-52bf-930f-9a76a63852ef,rwanda
5900003001-020000000000000000-00154,c80268a0-a3b3-52bf-930f-9a76a63852ef,Health and Welfare (Health and Medical Sciences)
5900003001-020000000000000000-00154,c80268a0-a3b3-52bf-930f-9a76a63852ef,Social Sciences
3200000000-101101000000000000-00027,5019ca08-be98-5405-9ea4-98c8c9bd7786,government
3200000000-101101000000000000-00027,5019ca08-be98-5405-9ea4-98c8c9bd7786,public-service
3200000000-101101000000000000-00027,5019ca08-be98-5405-9ea4-98c8c9bd7786,rwanda
3200000000-101101000000000000-00027,5019ca08-be98-5405-9ea4-98c8c9bd7786,Business
3200000000-101101000000000000-00027,5019ca08-be98-5405-9ea4-98c8c9bd7786,Services
1417000000-301101070301000000-01298,60a1ea7a-250a-52c0-bf08-0716352dfc46,government
1417000000-301101070301000000-01298,60a1ea7a-250a-52c0-bf08-0716352dfc46,public-service
1417000000-301101070301000000-01298,60a1ea7a-250a-52c0-bf08-0716352dfc46,rwanda
1417000000-301101070301000000-01298,60a1ea7a-250a-52c0-bf08-0716352dfc46,Business
1605000000-901101010100000000-00095,9b15dd33-cf40-56a1-99f9-b917d6ffcee6,government
1605000000-901101010100000000-00095,9b15dd33-cf40-56a1-99f9-b917d6ffcee6,public-service
1605000000-901101010100000000-00095,9b15dd33-cf40-56a1-99f9-b917d6ffcee6,rwanda
1605000000-901101010100000000-00095,9b15dd33-cf40-56a1-99f9-b917d6ffcee6,Natural Sciences
1605000000-901101010100000000-00095,9b15dd33-cf40-56a1-99f9-b917d6ffcee6,Health and Welfare (Health and Medical Sciences)
1605000000-901101010100000000-00095,9b15dd33-cf40-56a1-99f9-b917d6ffcee6,Social Sciences
5100003001-020000000000000000-00064,fcd2f437-bb63-5e33-825b-5cb348e18011,government
5100003001-020000000000000000-00064,fcd2f437-bb63-5e33-825b-5cb348e18011,public-service
5100003001-020000000000000000-00064,fcd2f437-bb63-5e33-825b-5cb348e18011,rwanda
5100003001-020000000000000000-00064,fcd2f437-bb63-5e33-825b-5cb348e18011,Education
5100003001-020000000000000000-00064,fcd2f437-bb63-5e33-825b-5cb348e18011,Services
1413000000-901050000000000000-00159,4bb68a75-f13a-54fe-ba7b-f4cf895a2a98,government
1413000000-901050000000000000-00159,4bb68a75-f13a-54fe-ba7b-f4cf895a2a98,public-service
1413000000-901050000000000000-00159,4bb68a75-f13a-54fe-ba7b-f4cf895a2a98,rwanda
1413000000-901050000000000000-00159,4bb68a75-f13a-54fe-ba7b-f4cf895a2a98,Education
1413000000-901050000000000000-00159,4bb68a75-f13a-54fe-ba7b-f4cf895a2a98,Arts and Humanities
5500000000-801103040000000000-00096,c8bb1afc-4b0f-5fe0-8c3e-ca8e156a0391,government
5500000000-801103040000000000-00096,c8bb1afc-4b0f-5fe0-8c3e-ca8e156a0391,public-service
5500000000-801103040000000000-00096,c8bb1afc-4b0f-5fe0-8c3e-ca8e156a0391,rwanda
5500000000-801103040000000000-00096,c8bb1afc-4b0f-5fe0-8c3e-ca8e156a0391,Natural Sciences
5500000000-801103040000000000-00096,c8bb1afc-4b0f-5fe0-8c3e-ca8e156a0391,Engineering
1413000000-901050000000000000-00186,ea93c8ad-6e77-5570-8811-4bd30021b929,government
1413000000-901050000000000000-00186,ea93c8ad-6e77-5570-8811-4bd30021b929,public-service
1413000000-901050000000000000-00186,ea93c8ad-6e77-5570-8811-4bd30021b929,rwanda
1413000000-901050000000000000-00186,ea93c8ad-6e77-5570-8811-4bd30021b929,Education
1413000000-901050000000000000-00186,ea93c8ad-6e77-5570-8811-4bd30021b929,Natural Sciences
2206000000-090301010100000000-00059,edb90850-a6e7-50c1-9c25-6740ecd548fd,government
2206000000-090301010100000000-00059,edb90850-a6e7-50c1-9c25-6740ecd548fd,public-service
2206000000-090301010100000000-00059,edb90850-a6e7-50c1-9c25-6740ecd548fd,rwanda
2206000000-090301010100000000-00059,edb90850-a6e7-50c1-9c25-6740ecd548fd,Natural Sciences
2206000000-090301010100000000-00059,edb90850-a6e7-50c1-9c25-6740ecd548fd,Engineering
5500003001-020000000300000000-00056,73115417-1b43-58fa-841b-7e4b187869e8,government
5500003001-020000000300000000-00056,73115417-1b43-58fa-841b-7e4b187869e8,public-service
5500003001-020000000300000000-00056,73115417-1b43-58fa-841b-7e4b187869e8,rwanda
5500003001-020000000300000000-00056,73115417-1b43-58fa-841b-7e4b187869e8,Health and Welfare (Health and Medical Sciences)
0303000000-060400000000000000-00025,63463a41-3f56-5623-9768-2ced053d4f2b,government
0303000000-060400000000000000-00025,63463a41-3f56-5623-9768-2ced053d4f2b,public-service
0303000000-060400000000000000-00025,63463a41-3f56-5623-9768-2ced053d4f2b,rwanda
0303000000-060400000000000000-00025,63463a41-3f56-5623-9768-2ced053d4f2b,Business
0303000000-060400000000000000-00025,63463a41-3f56-5623-9768-2ced053d4f2b,Natural Sciences
0303000000-060400000000000000-00025,63463a41-3f56-5623-9768-2ced053d4f2b,Information and Communication Technologies (ICTs)
0303000000-060400000000000000-00025,63463a41-3f56-5623-9768-2ced053d4f2b,Engineering
1606000000-999990110101111000-00067,7f5cf7a9-bb0f-570c-8d38-c8a28f042a9b,government
1606000000-999990110101111000-00067,7f5cf7a9-bb0f-570c-8d38-c8a28f042a9b,public-service
1606000000-999990110101111000-00067,7f5cf7a9-bb0f-570c-8d38-c8a28f042a9b,rwanda
1606000000-999990110101111000-00067,7f5cf7a9-bb0f-570c-8d38-c8a28f042a9b,Natural Sciences
1606000000-999990110101111000-00067,7f5cf7a9-bb0f-570c-8d38-c8a28f042a9b,Health and Welfare (Health and Medical Sciences)
6000000000-812301011601000000-00090,5ce14d10-57c8-5690-8e76-4980aff851de,government
6000000000-812301011601000000-00090,5ce14d10-57c8-5690-8e76-4980aff851de,public-service
6000000000-812301011601000000-00090,5ce14d10-57c8-5690-8e76-4980aff851de,rwanda
6000000000-812301011601000000-00090,5ce14d10-57c8-5690-8e76-4980aff851de,Natural Sciences
2306000000-901201010000000000-00040,8748d338-0986-5dc4-9bdb-fe2aff7eb444,government
2306000000-901201010000000000-00040,8748d338-0986-5dc4-9bdb-fe2aff7eb444,public-service
2306000000-901201010000000000-00040,8748d338-0986-5dc4-9bdb-fe2aff7eb444,rwanda
2306000000-901201010000000000-00040,8748d338-0986-5dc4-9bdb-fe2aff7eb444,Education
2306000000-901201010000000000-00040,8748d338-0986-5dc4-9bdb-fe2aff7eb444,Business
2306000000-901201010000000000-00040,8748d338-0986-5dc4-9bdb-fe2aff7eb444,Natural Sciences
2306000000-901201010000000000-00040,8748d338-0986-5dc4-9bdb-fe2aff7eb444,Services
2306000000-901201010000000000-00040,8748d338-0986-5dc4-9bdb-fe2aff7eb444,Information and Communication Technologies (ICTs)
2306000000-901201010000000000-00040,8748d338-0986-5dc4-9bdb-fe2aff7eb444,Engineering
2306000000-901201010000000000-00040,8748d338-0986-5dc4-9bdb-fe2aff7eb444,Health and Welfare (Health and Medical Sciences)
2306000000-901201010000000000-00040,8748d338-0986-5dc4-9bdb-fe2aff7eb444,Arts and Humanities
2306000000-901201010000000000-00040,8748d338-0986-5dc4-9bdb-fe2aff7eb444,Agriculture
2306000000-901201010000000000-00040,8748d338-0986-5dc4-9bdb-fe2aff7eb444,Social Sciences
1200000000-101104000000000000-00059,3ad0dd63-5b2f-5f6a-804f-9810a1e5751d,government
1200000000-101104000000000000-00059,3ad0dd63-5b2f-5f6a-804f-9810a1e5751d,public-service
1200000000-101104000000000000-00059,3ad0dd63-5b2f-5f6a-804f-9810a1e5751d,rwanda
1200000000-101104000000000000-00059,3ad0dd63-5b2f-5f6a-804f-9810a1e5751d,Business
1200000000-101104000000000000-00059,3ad0dd63-5b2f-5f6a-804f-9810a1e5751d,Natural Sciences
1200000000-101104000000000000-00059,3ad0dd63-5b2f-5f6a-804f-9810a1e5751d,Information and Communication Technologies (ICTs)
1200000000-101104000000000000-00059,3ad0dd63-5b2f-5f6a-804f-9810a1e5751d,Engineering
