original_job_id,job_id,title,institution,company_id,location,experience_years_required,experience_level,field_of_study,salary_min,salary_max,published_at,expires_at,status,real_total_applicants,real_total_engagements
6600003001-020000000200000000-00010,7c21469d-7eeb-5896-a86c-d812fe583c93,Accountant A1,RUHANGO DISTRICT,47f78d9e-5fd5-57bf-aa7f-abb47fe487df,Nyamasheke,0,entry,"Business, Administration and Law",220000,302069,28/07/2026,30/11/2026,active,1090,1090
4000000000-801102230000000000-00088,d576370e-50ae-5e6b-a589-c3e21c3f2769,Secretary and Customer Care,NGOMA DISTRICT,2cba1cd1-01b2-585b-a41f-40719659af36,Ngoma,0,entry,"Business, Administration and Law",220000,286204,06/09/2026,29/12/2026,active,913,913
1606000000-999990110101111200-00020,5822c35d-2ca8-5556-8bc9-0b725e2588af,Good Clinical Practices (GCP) Specialist,RWANDA FOOD AND DRUGS AUTHORITY,0ca9c11c-8d09-5737-9fd5-50da983015af,Nyarugenge,3,mid,"Natural Sciences, Mathematics and Statistics",475000,566572,24/07/2026,29/12/2026,active,448,448
1804000000-090101020000000000-00034,cfa6fd27-6630-5f6f-94f2-4d6d432160a5,Property Valuation Specialist,RWANDA HOUSING AUTHORITY,56d2f24d-b50d-5a99-94e4-02af46b5acaf,Nyagatare,3,mid,"Business, Administration and Law",475000,589237,07/08/2026,03/04/2027,active,113,113
4500000000-801101100000000000-00071,f42026de-cac4-59c1-b743-69403ae049c0,Good Governance and Specific Programs Officer,NYAGATARE DISTRICT,ea57dad2-1ad5-5d85-b3e2-419c988cf789,Nyagatare,0,entry,"Business, Administration and Law",220000,305459,20/09/2026,28/01/2027,active,431,431
4500000000-801101020000000000-00085,9db361d0-3c41-5e12-8143-67b1457a0ed0,Documentation and Archives Officer,NYAGATARE DISTRICT,ea57dad2-1ad5-5d85-b3e2-419c988cf789,Nyagatare,0,entry,"Business, Administration and Law",220000,295120,03/10/2026,18/01/2027,active,68,68
5900003001-020000000000000000-00154,c80268a0-a3b3-52bf-930f-9a76a63852ef,Social Workers A2/A1,NYAMASHEKE DISTRICT,df7f48ff-d7a0-5e14-bcac-b031721cb870,Nyamasheke,0,entry,Health and Welfare (Health and Medical Sciences),220000,256238,02/06/2026,18/09/2026,active,529,529
3200000000-101101000000000000-00027,5019ca08-be98-5405-9ea4-98c8c9bd7786,Logistics Officer,Ministry of Public Investments and Privatization,09037bcf-d828-50d4-8301-991fda242c53,Burera,0,entry,"Business, Administration and Law",220000,282495,26/08/2026,21/12/2026,active,1574,1574
1417000000-301101070301000000-01298,60a1ea7a-250a-52c0-bf08-0716352dfc46,Assistant Lecturer  Public Law Department - CASS- CASS/Under Contract,UNIVERSITY OF RWANDA,b48f5840-b3ad-581e-977f-655b68b83732,Rusizi,0,entry,"Business, Administration and Law",220000,264973,21/10/2026,23/05/2027,active,20,20
1605000000-901101010100000000-00095,9b15dd33-cf40-56a1-99f9-b917d6ffcee6,Psychosocial Care Senior Officer,RWANDA BIO MEDICAL CENTER,fff3e870-09bd-55ae-a770-c558a61b9c12,Karongi,0,entry,"Natural Sciences, Mathematics and Statistics",220000,289942,20/08/2026,18/01/2027,active,457,457
5100003001-020000000000000000-00064,fcd2f437-bb63-5e33-825b-5cb348e18011,Driver,KAMONYI DISTRICT,30d0d5e5-7597-5c8c-a2fc-475f3f56cf79,Nyamasheke,0,entry,Education,220000,261549,07/08/2026,04/12/2026,active,1216,1216
1413000000-901050000000000000-00159,4bb68a75-f13a-54fe-ba7b-f4cf895a2a98,History and Religious studies teacher A0,RWANDA BASIC EDUCATION BOARD,095aeb11-7497-50e3-9448-15f9a12a6d07,Ngoma,0,entry,Education,220000,276638,10/06/2026,11/12/2026,active,546,546
5500000000-801103040000000000-00096,c8bb1afc-4b0f-5fe0-8c3e-ca8e156a0391,Surveyor,NYABIHU DISTRICT,3072086c-23c7-5d94-ab83-8a26850e0780,Huye,3,mid,"Natural Sciences, Mathematics and Statistics",475000,648207,11/07/2026,05/11/2026,active,261,261
1413000000-901050000000000000-00186,ea93c8ad-6e77-5570-8811-4bd30021b929,Deputy Headteacher in charge of Studies,RWANDA BASIC EDUCATION BOARD,095aeb11-7497-50e3-9448-15f9a12a6d07,Nyamasheke,5,senior,Education,525000,649121,07/08/2026,14/11/2026,active,28147,28147
2206000000-090301010100000000-00059,edb90850-a6e7-50c1-9c25-6740ecd548fd,Water Resources Planner,NATIONAL LAND AUTHORITY,d5d4f331-8023-54d0-9e47-45ac59d2786d,Huye,2,mid,"Natural Sciences, Mathematics and Statistics",450000,579871,13/09/2026,05/03/2027,active,93,93
5500003001-020000000300000000-00056,73115417-1b43-58fa-841b-7e4b187869e8,Lab techinician A2,NYABIHU DISTRICT,3072086c-23c7-5d94-ab83-8a26850e0780,Kayonza,0,entry,Health and Welfare (Health and Medical Sciences),220000,287059,22/06/2026,01/12/2026,active,49,49
0303000000-060400000000000000-00025,63463a41-3f56-5623-9768-2ced053d4f2b,IT Help Desk Officer,National Commission for Human Rights,991f005e-39cc-55c7-93da-f1b14fa73994,Kicukiro,0,entry,"Business, Administration and Law",220000,303460,11/10/2026,07/05/2027,active,1257,1257
1606000000-999990110101111000-00067,7f5cf7a9-bb0f-570c-8d38-c8a28f042a9b,"Food Supplement, Fortified, Fortificants Assessment &Registration Specialist",RWANDA FOOD AND DRUGS AUTHORITY,0ca9c11c-8d09-5737-9fd5-50da983015af,Burera,3,mid,"Natural Sciences, Mathematics and Statistics",475000,584215,20/06/2026,30/11/2026,active,2,2
6000000000-812301011601000000-00090,5ce14d10-57c8-5690-8e76-4980aff851de,Executive Secretary,RUTSIRO District,19087e75-e078-5bad-9dcc-999331552532,Rutsiro,3,mid,"Natural Sciences, Mathematics and Statistics",475000,592426,09/08/2026,26/02/2027,active,2957,2957
2306000000-901201010000000000-00040,8748d338-0986-5dc4-9bdb-fe2aff7eb444,Care Taker at Mutobo Demobilization center,RWANDA DEMOBILIZATION AND REINTEGRATION COMMISSION,163d42bb-aceb-596c-afd9-e2b43bb5cc68,Kicukiro,0,entry,Education,220000,288757,05/06/2026,19/01/2027,active,1270,1270
1200000000-101104000000000000-00059,3ad0dd63-5b2f-5f6a-804f-9810a1e5751d,Internal Audit Specialist in charge of IT Audit,Ministry of Finance and Economic Planning,8a7a1c75-89f5-5834-82ab-5d468cc98899,Gicumbi,3,mid,"Business, Administration and Law",475000,628260,05/09/2026,15/03/2027,active,257,257
5400000000-801101040000000000-00050,c25998fa-575e-5cdb-90b2-ba3fd509c671,Environmental Officer,RUSIZI DISTRICT,ccdd88e7-36d4-5f77-8419-148f566e219f,Rusizi,0,entry,"Natural Sciences, Mathematics and Statistics",220000,295605,12/10/2026,20/03/2027,active,345,345
1419010000-301207000000000000-00060,99881f76-82e4-5d92-85c9-24765cb4edb4,Assistant Lecturer of Kiswahili and Kinyarwanda,RP KITABI COLLEGE,40e23b58-8058-58f4-b61c-dfdb9c96bed7,Burera,0,entry,Arts and Humanities,220000,279871,19/07/2026,07/11/2026,active,0,0
1602000000-201102060000000000-00135,af42ec8b-1e7a-5c80-b65a-b0aa2a0c6d3e,Matron of the Obstetrics and Gynecology Department,CENTRAL UNIVERSITY HOSPITAL OF BUTARE,1cc90452-1205-5182-b85d-1874e4c0b5aa,Burera,5,senior,Health and Welfare (Health and Medical Sciences),525000,629026,18/08/2026,19/01/2027,active,9,9
1302000000-901202000000000000-00012,c37dff16-f3a1-57b6-ae5c-1f018c21cb78,Research Coordinator,INSTITUTE OF LEGAL PRACTICE AND DEVELOPMENT,0639878e-0707-52a3-a2f9-7e66fd0561b0,Rutsiro,0,entry,"Business, Administration and Law",220000,263140,12/08/2026,10/03/2027,active,303,303
0901001004-110201010000000000-00002,50c90004-d017-5114-a5c5-cce8933edaa0,Irrigation Engineering  Specialist,RWANDA AGRICULTURE AND ANIMAL RESOURCES DEVELOPEMENT BOARD,99fc44bf-3a5d-5cf2-bb48-d634310e7de8,Karongi,5,senior,"Business, Administration and Law",525000,624363,24/07/2026,15/12/2026,active,31,31
0901000000-140601030000000000-00218,a9cf9ffb-742f-5085-ade2-d15f470920ea,Apiculture and Commercial insects Innovation and Technology Transfer Research Technician Grade IV,RWANDA AGRICULTURE AND ANIMAL RESOURCES DEVELOPEMENT BOARD,99fc44bf-3a5d-5cf2-bb48-d634310e7de8,Musanze,15,executive,"Natural Sciences, Mathematics and Statistics",775000,1006539,19/06/2026,02/10/2026,active,89,89
5000000000-801101010600000000-00057,51c29a49-4bf6-5839-b191-73161343c30e,Social Protection Officer,MUHANGA DISTRICT,36d554e4-6fbb-53ca-aae7-53010481a5f7,Muhanga,0,entry,"Business, Administration and Law",220000,277322,15/07/2026,10/02/2027,active,1658,1658
2206000000-090301010100000000-00054,0ea40c7f-9f7d-5451-b47e-29237f039290,Economist-Statistician,NATIONAL LAND AUTHORITY,d5d4f331-8023-54d0-9e47-45ac59d2786d,Muhanga,1,entry,"Business, Administration and Law",425000,508680,01/06/2026,15/01/2027,active,219,219
