project_name,github_link,readme_documentation_score,commit_activity_score,dfx_json_score,total_score,readme_documentation_comments,commit_activity_comments,dfx_json_comments
iamjuampi/DROPSLANDxICP,https://github.com/iamjuampi/DROPSLANDxICP/,4,0,1,5,"The README file provides a good starting point for understanding the project's overall concept, features, and architecture. The general project description is clear, and the feature list is concise. The architecture section is well-organized, and the inclusion of the canister names and descriptions is helpful.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
cultureic/ckPayment,https://github.com/cultureic/ckPayment,4,1,1,6,"The documentation is good, but could be more detailed and comprehensive. The project description is clear and provides a good overview of the ckPayment system. The architecture diagram is also helpful in understanding the high-level components and relationships.","1 - 1 or 2 commits. Weekly development summary: Week of 2025-08-15: This week, the development team made significant progress by adding new features such as comprehensive payment form components, token management methods, analytics tracking capabilities, user payment canister service, dashboard, factory management components, and factory integration with the ckPay SDK. Existing features were improved, including the frontend architecture, authentication system, and payment infrastructure documentation, to enhance stability, performance, and usability. The overall impact is a more comprehensive, user-friendly, and efficient payment system with improved data management, user experience, and development workflow.",dfx.json file found - indicates ICP/Dfinity project structure
FidelinaArteaga/magreste-icp,https://github.com/FidelinaArteaga/magreste-icp,3,1,1,5,"The README file provides a decent overview of the Magreste Labs project, including its purpose, key components, and service methods. However, it lacks some essential elements, such as setup instructions for local development, integration instructions, and contribution guidelines. The file is also quite dense and could benefit from a clearer structure and formatting. The grammar and spelling appear to be correct, but some sections could be reorganized for better readability.","1 - 1 or 2 commits. Weekly development summary: Week of 2025-08-01: This week, the development focused on improving the project's backend and frontend by modifying the `package.json` files to update dependencies and scripts. The `magreste_labs_frontend` package was updated with a new `version` and `private` properties, while the `package.json` file was modified to include new scripts and dependencies. The overall impact of these changes is an improved project structure and updated dependencies, but no new features were added.",dfx.json file found - indicates ICP/Dfinity project structure
Xdxsoul/design-guardian,https://github.com/Xdxsoul/design-guardian,3,2,1,6,"The README file provides a good overview of the project's purpose, problem statement, and proposed solution. It also includes some useful links to the pitch deck, mainnet deploy MVP, and video demos. However, it lacks setup instructions for local development, which is an essential element for developers to contribute to the project. Additionally, there is no integration guide or contribution guidelines provided. The overall clarity and structure of the README file are good, but the lack of essential information brings the score down to 3.","2 - Commits every other week. Weekly development summary: Week of 2025-08-01: This week, the development team built and improved several features, including the addition of comment, subcomment, and like functionality to the design. The `design-guardian-backend` was modified to include a new `Comment` type and related functionality, while the `design-guardian-frontend` was updated to include a comment box and like button. Additionally, the `roadmap.md` file was updated to reflect the new features and improvements. The overall impact of these changes is an enhancement of the design sharing and interaction features, making it easier for users to engage with and discuss designs.; Week of 2025-08-08: This week, a new feature was added related to Non-Fungible Token (NFT) collection, including the creation of three new files: `src/design-guardian-backend/nfts/NFTCollection.mo`, `src/design-guardian-backend/nfts/defaultConfig.mo`, and `src/design-guardian-backend/nfts/logo.mo`. Additionally, the `mops.toml` file was modified to include a new dependency for ICRC7. The changes have a significant impact on the project, introducing a new capability for NFT collection and management.; Week of 2025-08-15: This week, we added a new feature, the ICRC7-NFT Collection, to the frontend.",dfx.json file found - indicates ICP/Dfinity project structure
juanvelozo/gaston-web,https://github.com/juanvelozo/gaston-web/tree/master,4,1,1,6,"The README file provides a good overview of the project, its features, and its technical details. It includes setup instructions for local development, which is a major plus. The file is well-structured and easy to follow, with clear headings and concise descriptions.","1 - 1 or 2 commits. Weekly development summary: Week of 2025-08-01: This week, the development team added new features, including a login form, session buttons, typography, spotlight card, rotating text, rotating circle, curved loops, and button groups, which aim to enhance the user interface and provide a more visually appealing experience. Improvements were made to the API, transactions, and categories, as well as fixes for errors and overflow issues. Overall, these changes aim to improve the user experience, stability, and functionality of the application.",dfx.json file found - indicates ICP/Dfinity project structure
MLR062998/https---github.com-SistemasTecTlaxiaco-HechoenOaxaca-tree-HechoenOaxaca-Mainnet,https://github.com/MLR062998/https---github.com-SistemasTecTlaxiaco-HechoenOaxaca-tree-HechoenOaxaca-Mainnet.git,4,1,1,6,"The README file provides a good overview of the project, its purpose, and its main features. The documentation is well-structured, and the sections are clearly labeled. The setup instructions for local development are also present, which is a significant plus. However, the integration guide is limited to a brief mention of the Ledger Canister, and there is no detailed explanation of how to integrate it with the project.","1 - 1 or 2 commits. Weekly development summary: Week of 2025-08-15: Here is a concise summary of the changes:

This week, a new ledger feature was implemented, allowing for the tracking of transactions and balances. Additionally, the authentication flow was improved, with new states and error handling mechanisms added. Several components, including the wallet and products lists, were modified to accommodate these changes.",dfx.json file found - indicates ICP/Dfinity project structure
Infinity-Task-Protocol/Infinity-task-protocol,https://github.com/Infinity-Task-Protocol/Infinity-task-protocol,4,2,1,7,"The README file provides a good overview of the project, including a general description of the Infinity Task Protocol, its features, and the problem it solves. It also includes some technical details, such as the backend and frontend architecture, and the process of using the platform. However, the documentation is not comprehensive, and some important elements are missing.","2 - Commits every other week. Weekly development summary: Week of 2025-08-08: This week, significant improvements were made to the backend actor classes, user avatar handling, and image management utilities, enabling better data handling and compression. The dashboard page was also added, and task detail pages were adjusted to accommodate new data structures. Additionally, frontend components were updated to improve overall code readability.; Week of 2025-08-15: This week, the development team added a new wallet flow feature, wallet store feature, and thumbnail functionality, while laying the groundwork for new features with the start of development on a Chat canister and the addition of a wallet development plug. They also improved existing functionality by introducing a generic type for canisters responses, adding a composable to retrieve route ID parameters as strings, and resolving author profile avatar validation and types issues. These changes enhance the overall functionality and usability of the system, positioning the team to build new features and improve the user experience in the coming weeks.; Week of 2025-08-22: This week, the team added a new feature, ""Chat Canister"", and made improvements to the Task Preview UI, including notification handling and fixes to the interfaces. The overall impact of these changes is the enhancement of the user experience and the addition of a new capability to the system.",dfx.json file found - indicates ICP/Dfinity project structure
P4-Games/ChatterPay,https://github.com/P4-Games/ChatterPay,3,0,1,4,"The README file provides a good introduction to the project, including a brief description of ChatterPay and its features. It also lists the components, technologies, and tools used in the project, which is helpful for understanding the project's architecture. However, the documentation lacks setup instructions for local development, which makes it difficult for new contributors or developers to get started. Additionally, the documentation does not provide a clear integration guide or contribution guidelines, which are important for collaboration and maintenance.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
Techgethr/dogity,https://github.com/Techgethr/dogity,3,1,1,5,"The README file provides a good overview of the project, its purpose, and its benefits. It also explains the concept of DogeFi and how it relates to the project. However, it lacks setup instructions for local development, integration instructions (if applicable), and contribution guidelines. The file does not provide a clear step-by-step guide on how to get started with the project, which might make it challenging for new developers to contribute or set up the project locally.","1 - 1 or 2 commits. Weekly development summary: Week of 2025-08-15: This week, the development team added a configuration feature for fee rate and confirmations in the `dogity` canister, allowing users to customize the settings. They also modified the `staking` module to use the configured minimum confirmations when verifying deposits and withdrawals, and improved the error handling in the `create_tx` function. Additionally, they refactored the `types` module to include a `Config` struct and implemented default values for the fee rate and minimum confirmations.",dfx.json file found - indicates ICP/Dfinity project structure
0xp3/AFJP-ICP,https://github.com/0xp3/AFJP-ICP,4,0,1,5,"The documentation provides a good overview of the project, including a general description, setup instructions for local development, and some technical details. The setup instructions are detailed and provide step-by-step guidance on how to clone the repository, navigate to the project directory, install dependencies, and run the development server. The project description is concise and provides a high-level overview of the platform.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
idarkstudio/UN-LOGIN-IC-IDS,https://github.com/idarkstudio/UN-LOGIN-IC-IDS,4,2,1,7,"The README file provides a good overall description of the project and its purpose, including the high-level architecture and a suggested repo structure. The documentation is well-organized and easy to follow. However, it lacks some key elements, such as setup instructions for local development and contribution guidelines.","2 - Commits every other week. Weekly development summary: Week of 2025-08-01: This week, new features were added, including three factions images. Existing features were modified or improved, such as the contact form's functionality, UI, and accessibility, as well as the styling of the index.scss file. The overall impact of the changes is a more refined and accessible user experience, with improved visuals and functionality.; Week of 2025-08-15: This week, a new feature was added with the integration of Google Analytics tracking script in the `index.html` file, which improves the website's analytics capabilities.",dfx.json file found - indicates ICP/Dfinity project structure
Txrmarcos/TaaS,https://github.com/Txrmarcos/TaaS,4,2,1,7,"The README file provides a good overview of the project, including a clear description of the project's purpose, its architecture, and its financial analysis. The file also includes setup instructions for local development, which is a plus. However, some sections, such as the financial analysis, are quite lengthy and may benefit from more organization and summarization.","2 - Commits every other week. Weekly development summary: Week of 2025-08-01: This week, a new feature was added to the bot-plan, with the addition of a new file ""backend/posts/posts.mo"". The search-news feature was also modified to include a new canister. Additionally, the frontend was improved with the addition of a new page ""frontend/src/app/notice/page.tsx"". These changes show a focus on expanding the platform's capabilities and user experience.; Week of 2025-08-08: This week, new features were added to the application, including a user canister, newsletters, and user profiles. The existing notice feature was modified to include like and dislike icons, and the send icon was added. The application also gained new files, such as `backend/newsletters/newsletters.mo` and `frontend/src/app/users/page.tsx`, while some files were modified or renamed. The overall impact of the changes is the addition of new functionality and improvements to the application's user interface.; Week of 2025-08-15: This week, we introduced three new features: support, a news page, and a ""Publish News"" page, as well as a new navigation bar. Existing features were improved, including the addition of a sidebar to display the news feed, adjustable sidebar, and background to all pages, as well as backend integration enhancements. These changes aim to enhance the user experience and improve the overall functionality of the application, making it more accessible and streamlined.; Week of 2025-08-22: This week, several features were added or improved, including the ability to publish posts to a user's profile, add comments to news articles, and display a user's posts on their profile page. The `AuthContext` was also updated to use the `useAuth` hook, and the `Sidebar` component was modified to display a user's profile information. Additionally, the landing page was refactored to include a login button and display the user's profile information after login.",dfx.json file found - indicates ICP/Dfinity project structure
