project_name,github_link,readme_documentation_score,commit_activity_score,dfx_json_score,total_score,readme_documentation_comments,commit_activity_comments,dfx_json_comments
Darthpool9900/gap_project,https://github.com/Darthpool9900/gap_project,0,0,1,1,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
AnnsuChoudhary/StarLab-Adventure,https://github.com/AnnsuChoudhary/StarLab-Adventure,3,0,1,4,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
sambhavverma2004/Sentinel-ICP,https://github.com/sambhavverma2004/Sentinel-ICP/tree/main,0,0,1,1,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
AbdulrahmanFiala/chain_notary,https://github.com/AbdulrahmanFiala/chain_notary,3,3,1,7,"The README provides a clear project overview, outlines target users, describes core functionality, and includes contribution guidelines and a link to a separate BUILD.md for installation details. However, it lacks concrete setup instructions within the file itself (e.g., how to install dependencies, run the project locally, or build the backend), and there is no integration guide or API usage examples for developers who might want to consume the service. The structure and grammar are generally good, but the missing on‑boarding steps prevent it from reaching a higher rating. Overall, it offers basic documentation but falls short on essential developer‑facing details.","3 - Commits every week. Weekly development summary: Week of 2025-09-01: This week we added deterministic response handling for node consensus, integrated Internet Identity with enhanced user and admin management (including unlinking users from institutions), and built a robust stable storage system that preserves data across upgrades and provides graceful error handling. We also introduced numeric‑formatting for form inputs, renamed utility functions for clearer naming, and fixed several stability issues such as stable‑memory initialization, an identifier‑generation bug, and the removal of an obsolete collection model. Together, these updates improve canister reliability, deployment stability, data presentation, and overall code readability.; Week of 2025-09-08: This week we added experimental non‑replicated outcall handling, a memory‑wipe tracking system with persistent logging and Discord webhook alerts, a super‑admin function to link users to institutions, a full Redux‑based Dfinity authentication flow, and a UserAccount UI with Profile, Settings, and DocumentHistory tabs backed by nested protected routes. We also introduced backend enhancements such as principal‑ID retrieval, structured document‑summary responses from `get_documents_by_owner`, refactored static API‑key handling, timestamp utilities, canister lifecycle management, and centralized anonymous‑user auth checks for improved security and configurability. Finally, Cypress testing support and updated deployment scripts were added, boosting test coverage, deployment reliability, and overall code maintainability while strengthening admin management and system robustness.; Week of 2025-09-15: This week we delivered major new functionality, including a full XBRL parser and viewer with auto‑fill upload, a complete user registration/authentication system with protected routes, an Institutions dashboard with table view, services and routing, and a `whoami` query plus extended user‑profile fields. We also added operational improvements such as automated local deployment with identity setup, CI/CD pipelines for mainnet, backend Candid interfaces, cycle‑balance monitoring via Discord webhooks, memory monitoring, disabled an expensive heartbeat, switched storage to bincode, and extensive linting, testing and code‑cleanup work. Together these changes expand core features, enhance security and observability, reduce resource usage and cycle costs, and streamline the build and deployment process.",dfx.json file found - indicates ICP/Dfinity project structure
Alkamal01/cogni-icp,https://github.com/Alkamal01/cogni-icp,3,0,1,4,The README excerpt provides a solid project description through its “Core Features” section and includes useful setup instructions for running the development server as well as a clear project‑structure diagram. The formatting is clean and the sections are well‑organized.,No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
YANSHdiv/Automated-AC,https://github.com/YANSHdiv/Automated-AC,3,0,0,3,"The README provides a solid project overview, a clear list of features, and a decent “How it Works” section that explains the inputs, simulation, decision logic, and output. Basic setup instructions for a local development environment are included (virtual‑environment creation and dependency installation), which is helpful for getting the code running.",No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
Ujjwal-sinha/InsureBTC,https://github.com/Ujjwal-sinha/InsureBTC,2,0,1,3,"The README provides a very limited amount of information. It includes a canister URL and a brief list of frontend integration functions with their parameters and return values, which gives a minimal sense of how to call the backend. However, it lacks virtually all of the essential documentation elements:",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
parimal-art/DeSocial,https://github.com/parimal-art/DeSocial,3,0,1,4,"The README provides a solid general description of the project—its vision, the problems it addresses, the solution on ICP, key features, tech stack, and a helpful flow diagram. The structure is clear and the language is mostly well‑written. However, it lacks essential practical sections: there are no step‑by‑step setup instructions for getting the canisters and React frontend running locally (e.g., installing `dfx`, building Rust canisters, running `npm install`/`npm start`), no integration guide for using the Candid interface, and no contribution guidelines (how to submit PRs, code style, testing, etc.). Because these important elements are missing, the documentation is only fair.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
fradiumofficial/fradium,https://github.com/fradiumofficial/fradium,3,3,1,7,"The README provides a decent overview of what the project does (risk‑checking wallet/extension, cross‑chain support, AI analytics) and includes a clear quick‑start guide for building and loading the browser extension. The screenshots and feature list help users understand the product.","3 - Commits every week. Weekly development summary: Week of 2025-09-01: This week we added several user‑facing features—including balance fetching, a receive modal, new landing‑page card rows with a purple button component, and animated wallet and page‑transition effects—while refactoring navigation and button components to use Tailwind CSS and migrating the footer and landing page to Tailwind for a consistent modern UI. We also introduced a new canister to index the Fradium token and consolidated the Ethereum, Solana, and Bitcoin integrations into a single canister, removing the obsolete Mythril component. Together these updates enhance visual experience, streamline multi‑chain support, and improve code maintainability.; Week of 2025-09-08: This week the app gained comprehensive multi‑chain support (ICP, ICRC‑1, Fradium, Solana, ETH) with full ledger integration, balance fetching, and send/receive flows—including amount entry, network selection, and detailed transaction/history screens—while introducing a dedicated receive‑and‑send page, new settings UI, glass‑morphism styling, animated dashboard cards, and refined responsive modals. Advanced address‑analysis features were added, backed by an on‑chain AI canister that extracts balances, computes 40+ portfolio/DeFi metrics, and runs an ONNX classification model, and the ETH analyzer AI was also begun. Core stability was boosted through authentication and logout flows, wallet creation, deployment fixes (Vite base path, Vercel rewrites, case‑sensitivity), and a refactor that moves services into a shared library for better modularity.; Week of 2025-09-15: This week we expanded multi‑coin capabilities by adding full transaction and history support for ckETH, ckBTC, ICP, Fradium and FUM, introduced multi‑asset sending, QR‑code generation, and a new reporting workflow with address‑analysis enhancements. User experience was boosted through home‑screen upgrades (searchable assets, hide‑zero toggle, real‑time USD pricing, animations, AI‑agent UI), UI/UX fixes across the extension and wallet, and updated documentation and architecture diagrams. Backend reliability was strengthened with comprehensive unit tests, Pocket‑IC local canister simulation, automated .zip packaging, and numerous bug fixes and refactors, improving overall stability and maintainability.",dfx.json file found - indicates ICP/Dfinity project structure
JohnBenJB/Cafe,https://github.com/JohnBenJB/Cafe/tree/mvp,3,0,1,4,"The README provides a clear high‑level description of Café, its purpose, and a nice overview of features, motivations, and upcoming work. The structure is clean, headings are well‑used, and the language is generally free of grammatical errors.",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
DiegoFloresWenHao/ICP_Coder,https://github.com/DiegoFloresWenHao/ICP_Coder,3,2,1,6,"The README provides detailed step‑by‑step setup instructions for the authentication service, MCP server, and client integration (Cursor/VS Code), as well as examples for testing the REST API and CLI inference. The formatting with headings and code blocks is clear and generally well‑structured.","2 - Commits every other week. Weekly development summary: Week of 2025-09-08: This week the project added full Motoko documentation ingestion and indexing, introducing `clone_motoko_docs.py`, `motoko_docs_ingester.py`, shared RAG utilities (`rag/base.py`), and fixing ChromaDB paths to always use the project‑root directory. A chat‑history system was also built, adding a `Conversation` model, SQLite repository, context‑injection chain, and updating the FastAPI server to accept a `conversation_id` and persist conversations. These changes expand the RAG pipeline to cover official docs and enable stateful interactions.; Week of 2025-09-15: This week the team added a secure API‑key creation endpoint with validation for the MCP server and introduced an automated cronjob to ingest Motoko repositories. They also refactored both the API and MCP servers to improve architecture and prepare them for integration with the IC‑Vibe‑Coding‑Template‑Motoko, while adding Cursor tool support to the MCP server. These changes enhance security, automate repository handling, and lay a solid foundation for upcoming feature integrations.",dfx.json file found - indicates ICP/Dfinity project structure
research-ag/hosty-live-fe,https://github.com/research-ag/hosty-live-fe,2,0,1,3,"The README provides a brief project description (“a minimal setup to get React working in Vite…”) and a fairly detailed example of how to extend the ESLint configuration, which is useful for developers who need advanced linting. However, it lacks essential elements for comprehensive documentation:",No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
onicai/funnAI,https://github.com/onicai/funnAI,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
BeGods/ICP-HACKATHON,https://github.com/BeGods/ICP-HACKATHON.git,3,2,1,6,"The README provides a solid high‑level description of the BeGods project, its two main components (Game Launcher and NFT Booster System), and a clear directory layout with brief explanations of each folder. The Table of Contents and the architecture diagram help readers navigate the repo.","2 - Commits every other week. Weekly development summary: Week of 2025-09-01: Minor updates and fixes: added a LICENSE.txt and NOTICE.txt, and updated the README to reference the new FrogDogGames Public License. No functional code changes were introduced.; Week of 2025-09-15: Implemented a token‑index mapping/debug API and persisted NFT collection canister mappings in the backend, along with new data structures (BoosterInfo) and utility functions for retrieving NFTs across all collections. Added a booster‑NFT claim flow (frontend UI updates, claimBoosterNFT call, and related backend services) and enhanced marketplace listing handling with detailed logging. Updated scripts to create a burner identity and made various code‑cleanup and UI formatting improvements.",dfx.json file found - indicates ICP/Dfinity project structure
